seedling_id,plate,column,row,morphotype,comb_column,comb_row
3860,101,1,F,Y,1,A
3860,101,1,G,Y,1,B
3999,101,2,C,O,1,C
3999,101,2,D,O,1,D
3999,101,2,E,O,1,E
4435,101,3,B,O,1,F
4435,101,3,C,O,1,G
3578,101,4,E,C,1,H
3827,101,8,B,Y,2,A
3827,101,8,C,Y,2,B
4091,101,11,E,C,2,C
4242,102,1,H,Y,2,D
4020,102,3,A,A,2,E
4325,102,5,A,X,2,F
4332,102,6,F,Z,2,G
4332,102,6,G,Z,2,H
4066,102,7,A,A,3,A
3796,102,9,H,N,3,B
3773,102,10,E,W,3,C
4163,103,1,A,D,3,D
3824,103,6,E,X,3,E
3664,103,7,C,E,3,F
3653,103,8,E,F,3,G
3650,103,11,A,F,3,H
3650,103,11,H,N,4,A
3665,104,1,A,F,4,B
3967,104,2,H,D,4,C
3933,104,3,E,W,4,D
3736,104,5,A,W,4,E
4061,104,7,A,F,4,F
3542,105,4,E,A,4,G
3801,105,6,H,N,4,H
3051,105,9,A,B,5,A
4047,105,11,A,D,5,B
3570,105,12,B,H,5,C
3570,105,12,C,H,5,D
3562,106,1,A,H,5,E
3562,106,1,B,H,5,F
3562,106,1,C,H,5,G
3496,106,4,A,D,5,H
4109,106,8,E,G,6,A
4329,106,9,E,W,6,B
4329,106,9,H,N,6,C
4293,106,10,E,W,6,D
3609,106,11,E,A,6,E
4036,106,12,A,A,6,F
3617,107,3,A,F,6,G
3593,107,4,A,G,6,H
3620,107,6,E,B,7,A
3858,107,7,A,X,7,B
3732,107,9,A,X,7,C
3724,108,3,A,X,7,D
3643,109,3,F,E,7,E
3938,109,7,D,Z,7,F
3852,109,7,E,Z,7,G
3852,109,7,F,Z,7,H
4044,109,11,E,G,8,A
3056,109,12,H,N,8,B
3077,110,1,E,D,8,C
3087,110,6,A,G,8,D
4187,110,6,E,G,8,E
3502,110,9,B,E,8,F
3502,110,9,C,E,8,G
3525,111,1,F,E,8,H
3048,111,2,A,B,9,A
3539,111,5,A,B,9,B
3626,111,5,E,B,9,C
